backend,batch,blas,check_ok,compiler,device,device_type,driver,dtype,epoch_act_ms,epoch_biasgrad_ms,epoch_d2h_ms,epoch_delta_ms,epoch_device_total_ms,epoch_gemm_ms,epoch_h2d_ms,epoch_loss_ms,epoch_other_ms,epoch_reg_ms,epoch_update_ms,epoch_wait_ms,epoch_wall_ms,epochs,gflops_gemm,gflops_total,git_bench,git_lib,gpu_energy_j,gpu_power_w,gpu_util_pct,host,id,intensity,iqr_epoch_s,layers,losses_finite,median_epoch_s,mode,n_samples,options,prof_act_ms,prof_batches,prof_biasgrad_ms,prof_bytes_d2h,prof_bytes_h2d,prof_d2h_ms,prof_delta_ms,prof_device_total_ms,prof_epoch_wall_ms,prof_epochs,prof_gemm_ms,prof_h2d_ms,prof_launches,prof_loss_ms,prof_other_ms,prof_reg_ms,prof_unprofiled,prof_update_ms,prof_wait_ms,prof_wall_ms,samples_per_s,seed,steady_epoch_s,steady_samples_per_s,steps_per_s,tag,threads,threads_effective,timestamp,version,workload
cudann,1,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,float,1.5744042,0.0,0.7478294666666667,0.0,6.8920584,4.551374933333333,0.018449800000000002,0.0,0.0,0.0,0.0,0.006340666666666666,8.659061666666666,3,0.002132614728514578,0.0024288112185860476,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,,88.0,1.0,476ccbc833c5,7fb6c423cf77,0.3673469387755102,0.0009493376516426615,17-4-1,True,0.008372820351117602,infer,124,"{""profile"": true}",23.616063,0,0.0,7440,126480,11.217442,0.0,103.380876,,0,68.270624,0.276747,9315,0.0,0.0,0.0,0,0.0,0.09511,129.885925,14809.82450357346,1,,,14809.82450357346,,,16,2026-09-04T01:42:25+00:00,0.1.0,monk
cudann,124,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,float,0.01475068,0.0,0.00636012,0.0,0.07433496,0.03610624,0.01711792,0.0,0.0,0.0,0.0,0.0044490400000000005,0.11088564,5,0.12295522463925292,0.14003233917248248,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,,,,476ccbc833c5,62f8cc4e2fea,1.354368932038835,4.7148088924586936e-06,17-4-1,True,0.0001452235970646143,infer,124,"{""profile"": true}",0.368767,0,0.0,12400,210800,0.159003,0.0,1.858374,,0,0.902656,0.427948,150,0.0,0.0,0.0,0,0.0,0.111226,2.772141,853855.7266614785,1,,,6885.9332795280525,,,16,2026-09-04T01:42:25+00:00,0.1.0,monk
cudann,1,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,double,1.7799592666666666,0.0,0.7877134666666666,0.0,7.478925733333333,4.892263333333333,0.01898966666666667,0.0,0.0,0.0,0.0,0.006978066666666667,9.348842533333334,3,0.001982122857195337,0.002257417698472467,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,,87.82,5.0,476ccbc833c5,9079a8958e3d,0.1836734693877551,0.000773972676446041,17-4-1,True,0.009008523329005888,infer,124,"{""profile"": true}",26.699389,0,0.0,14880,252960,11.815702,0.0,112.183886,,0,73.38395,0.284845,9315,0.0,0.0,0.0,0,0.0,0.104671,140.232638,13764.742063856507,1,,,13764.742063856507,,,16,2026-09-04T01:42:25+00:00,0.1.0,monk
cudann,124,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,double,0.02745856,0.0,0.01254044,0.0,0.13293728,0.06203264,0.03090564,0.0,0.0,0.0,0.0,0.007446,0.20953123999999998,5,0.06531204604828493,0.07438316355499117,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,,,,476ccbc833c5,4de867529131,0.6771844660194175,2.9675895348191153e-06,17-4-1,True,0.0002733952016569674,infer,124,"{""profile"": true}",0.686464,0,0.0,24800,421600,0.313511,0.0,3.323432,,0,1.550816,0.772641,150,0.0,0.0,0.0,0,0.0,0.18615,5.238281,453555.87533531204,1,,,3657.708672058968,,,16,2026-09-04T01:42:25+00:00,0.1.0,monk
cudann,1,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,float,41.02926586666667,0.0,12.4355434,0.0,163.39646273333335,109.87383713333334,0.05781633333333334,0.0,0.0,0.0,0.0,0.014733,211.93079093333333,3,0.09866505994451824,0.10377784588309888,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,271.0450834470309,87.946875,33.4375,476ccbc833c5,c02170b85f90,0.4745635442087479,0.003405665008661657,12-64-64-3,True,0.20989574233923727,infer,2048,"{""profile"": true}",615.438988,0,0.0,368640,1474560,186.533151,0.0,2450.946941,,0,1648.107557,0.867245,215055,0.0,0.0,0.0,0,0.0,0.220995,3178.961864,9757.2250736272,1,,,9757.2250736272,,,16,2026-09-04T01:42:29+00:00,0.1.0,cup
cudann,1000,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,float,0.018000640000000002,0.0,0.00816524,0.0,0.07858076,0.030597120000000002,0.021817760000000002,0.0,0.0,0.0,0.0,0.00548884,0.12153056,5,62.87986269039037,66.13827329657752,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,,,,476ccbc833c5,253220a5f26f,9.157562233749674,3.7930090911686366e-06,12-64-64-3,True,0.0001608146005310118,infer,1000,"{""profile"": true}",0.450016,0,0.0,300000,1200000,0.204131,0.0,1.964519,,0,0.764928,0.545444,200,0.0,0.0,0.0,0,0.0,0.137221,3.038264,6218340.851502212,1,,,6218.340851502212,,,16,2026-09-04T01:42:29+00:00,0.1.0,cup
cudann,1,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,double,41.20853293333333,0.0,12.998996266666667,0.0,165.23813479999998,110.95142566666667,0.07917993333333334,0.0,0.0,0.0,0.0,0.012352466666666667,209.09468653333334,3,0.09895413634287212,0.10408190211063961,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,264.933664764282,87.166875,36.1875,476ccbc833c5,dd28a495503a,0.23728177210437396,0.0013506583442600972,12-64-64-3,True,0.20928257034393027,infer,2048,"{""profile"": true}",618.127994,0,0.0,737280,2949120,194.984944,0.0,2478.572022,,0,1664.271385,1.187699,215055,0.0,0.0,0.0,0,0.0,0.185287,3136.420298,9785.812533907449,1,,,9785.812533907449,,,16,2026-09-04T01:42:33+00:00,0.1.0,cup
cudann,1000,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,double,0.02913916,0.0,0.01212596,0.0,0.16260144,0.08231552,0.0390208,0.0,0.0,0.0,0.0,0.01067828,0.231351,5,32.18252320210654,33.85020933322836,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,,,,476ccbc833c5,dd76cef76dfb,4.578781116874837,1.4444591943174611e-05,12-64-64-3,True,0.0003142078057862818,infer,1000,"{""profile"": true}",0.728479,0,0.0,600000,2400000,0.303149,0.0,4.065036,,0,2.057888,0.97552,200,0.0,0.0,0.0,0,0.0,0.266957,5.783775,3182607.1204614853,1,,,3182.6071204614855,,,16,2026-09-04T01:42:33+00:00,0.1.0,cup
cudann,1,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,float,30.869104,0.0,12.637382533333332,0.0,175.94421066666666,126.87032413333333,5.5674,0.0,0.0,0.0,0.0,0.0125072,217.4454522,3,10.004960698347888,10.034057062819011,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,309.25867324566406,95.25235294117647,44.470588235294116,476ccbc833c5,d4ffd10d6791,0.49783203379422,0.0012223546703656607,784-512-256-10,True,0.21904372301651165,infer,2048,"{""profile"": true}",463.03656,0,0.0,1228800,96337920,189.560738,0.0,2639.16316,,0,1903.054862,83.511,215055,0.0,0.0,0.0,0,0.0,0.187608,3261.681783,9349.731513856805,1,,,9349.731513856805,,,16,2026-09-04T01:42:37+00:00,0.1.0,mnist-512-256
cudann,4096,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,float,1.65784832,0.0,0.7408831600000001,0.0,170.67673548,9.01679736,159.26120664,0.0,0.0,0.0,0.0,30.71197776,173.39177004,5,196.402717549411,196.97389471094448,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,559.2947881793715,71.00725,12.775,476ccbc833c5,046a51ef4d07,108.72034544069088,0.0013455033884383627,784-512-256-10,True,0.32690382699947806,infer,60000,"{""profile"": true}",41.446208,0,0.0,60000000,4704000000,18.522079,0.0,4266.918387,,0,225.419934,3981.530166,2650,0.0,0.0,0.0,0,0.0,767.799444,4334.794251,183540.21900176714,1,,,45.88505475044178,,,16,2026-09-04T01:42:47+00:00,0.1.0,mnist-512-256
