Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
28.1,32316242,1927,16770.2,9740.0,7247,5506875,144775.5,cudaLaunchKernel
23.6,27065617,5829,4643.3,3999.0,2250,70184,3054.8,cudaEventRecord
21.2,24384848,7,3483549.7,23811.0,13602,21871457,8157142.1,cudaHostAlloc
6.5,7418083,57,130141.8,9958.0,1625,4762673,629971.1,cudaFree
5.7,6539801,7,934257.3,15695.0,8479,5866250,2186095.2,cudaFreeHost
2.9,3273783,53,61769.5,9752.0,2403,422053,108660.8,cudaMalloc
2.5,2927263,2007,1458.5,1346.0,731,37447,1392.0,cudaEventDestroy
2.3,2583974,717,3603.9,1681.0,788,56240,3764.4,cudaEventCreateWithFlags
2.0,2296054,18,127558.6,19542.0,10681,575206,189907.1,cudaMemcpy
1.8,2071653,1290,1605.9,1140.5,648,21825,1995.6,cudaEventCreate
1.4,1585611,783,2025.0,1783.0,818,16506,1207.2,cudaStreamWaitEvent
0.9,980787,20,49039.3,18191.5,6847,476130,105294.1,cudaMemcpyAsync
0.3,345364,1,345364.0,345364.0,345364,345364,0.0,cudaGetDeviceProperties_v2_v12000
0.2,277728,17,16336.9,10329.0,5733,81083,17793.5,cudaMemsetAsync
0.2,263261,838,314.2,282.0,143,7332,269.0,cuGetProcAddress_v2
0.2,204580,78,2622.8,1123.0,918,34111,4142.9,cudaStreamSynchronize
0.1,124483,4,31120.8,15123.0,12045,82192,34089.8,cudaStreamCreateWithFlags
0.1,97350,16,6084.4,5336.5,2288,13121,3313.8,cudaDeviceSynchronize
0.0,47093,4,11773.3,7901.5,6823,24467,8495.6,cudaStreamDestroy
0.0,16879,4,4219.8,4167.0,3535,5010,736.5,cuInit
0.0,2238,2,1119.0,1119.0,690,1548,606.7,cudaGetDriverEntryPoint_v11030
0.0,1837,3,612.3,237.0,186,1414,694.7,cuModuleGetLoadingMode
