Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
24.2,4853725,194,25019.2,25136.5,12288,39937,12478.5,sgemm_32x32x32_NN_vec
15.1,3032548,288,10529.7,7392.0,1600,23904,8578.5,"void cudann::kernels::update_k<float>(T1 *, const T1 *, T1 *, T1 *, unsigned long, T1 *, const T1 *, T1 *, T1 *, unsigned long, cudann::kernels::UpdateParams<T1>, const cudann::kernels::StepScalars<T1> *)"
14.8,2964269,96,30877.8,30496.0,26977,38337,1297.2,maxwell_sgemm_128x64_nt
9.0,1813272,96,18888.3,18784.5,16128,39393,2218.0,sgemm_32x32x32_TN_vec
7.9,1579512,96,16453.3,16256.0,14496,19840,752.5,sgemm_32x32x32_NT_vec
5.2,1038676,96,10819.5,10816.0,8608,11584,361.3,sgemm_32x32x32_TN
5.1,1015987,97,10474.1,10465.0,7776,11776,347.7,sgemm_32x32x32_NN
4.2,838347,192,4366.4,5344.0,2464,8256,1689.9,"void gemv2N_kernel<int, int, float, float, float, float, (int)128, (int)32, (int)4, (int)4, (int)1, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
3.8,762061,96,7938.1,7840.0,5312,9920,588.6,sgemm_32x32x32_NT
3.1,618506,194,3188.2,3264.0,2432,3872,546.0,"void cudann::kernels::activate_k<float, cudann::kernels::ActF<(cudann::ActivationType)3>>(T1 *, T1 *, const T1 *, unsigned long, unsigned long, T2)"
2.9,575176,96,5991.4,5888.0,5344,7361,401.7,"void gemv2N_kernel<int, int, float, float, float, float, (int)128, (int)8, (int)4, (int)4, (int)1, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
2.6,529864,192,2759.7,2912.0,1824,6913,1038.5,"void cudann::kernels::hidden_delta_k<float, cudann::kernels::DfF<(cudann::ActivationType)3, (bool)1>>(T1 *, const T1 *, const T1 *, unsigned long, T2)"
1.3,252067,96,2625.7,2624.0,2528,2816,53.8,"void cudann::kernels::output_delta_loss_k<float, cudann::kernels::DfF<(cudann::ActivationType)1, (bool)1>>(const T1 *, const T1 *, const T1 *, T1 *, unsigned long, T2, double *)"
1.0,199681,97,2058.6,2048.0,1760,2208,52.4,"void cudann::kernels::activate_k<float, cudann::kernels::ActF<(cudann::ActivationType)1>>(T1 *, T1 *, const T1 *, unsigned long, unsigned long, T2)"
0.0,1088,1,1088.0,1088.0,1088,1088,0.0,"void cudann::kernels::fill_k<float>(T1 *, T1, unsigned long)"
