Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
26.0,44315092,10,4431509.2,20445.5,7931,16110142,6756352.5,cuMemHostAlloc
16.9,28744407,5939,4839.9,4310.0,2033,338369,5693.8,cuEventRecord
11.3,19240349,1059,18168.4,12742.0,10904,2593496,83540.1,cudaLaunchKernel
8.0,13547255,2,6773627.5,6773627.5,2548287,10998968,5975533.8,cuModuleLoadDataEx
6.4,10965324,867,12647.4,10681.0,9458,99556,5734.2,cuLaunchKernel
5.9,10008745,10,1000874.5,27470.0,5575,3150716,1453902.9,cuMemFreeHost
5.4,9157508,2,4578754.0,4578754.0,698426,8459082,5487612.5,cuModuleUnload
4.9,8375588,5939,1410.3,829.0,267,89931,2306.9,cuEventCreate
4.0,6743873,12012,561.4,471.0,414,31049,627.3,cuEventSynchronize
2.5,4259295,236,18047.9,7919.0,2174,420740,48401.8,cuMemAlloc_v2
2.1,3544658,236,15019.7,7241.0,2550,618461,49875.0,cuMemFree_v2
1.8,3028118,35,86517.7,15003.0,5079,561077,158253.9,cuMemcpyAsync
1.5,2603042,4,650760.5,196463.0,23434,2186682,1029867.1,cudaFree
1.2,2117028,5937,356.6,271.0,171,30109,591.4,cuEventDestroy_v2
0.8,1392146,4,348036.5,349189.5,71913,621854,270093.9,cuLibraryUnload
0.5,898352,96,9357.8,7617.0,7105,33095,4488.5,cuMemsetD8Async
0.3,542503,238,2279.4,2550.5,548,15930,1996.9,cuEventQuery
0.2,291193,3,97064.3,27512.0,3907,259774,141404.1,cudaMalloc
0.1,170375,18,9465.3,7901.5,3016,43235,9524.6,cuMemsetD32Async
0.1,151192,838,180.4,146.0,71,10300,362.5,cuGetProcAddress_v2
0.1,89140,2,44570.0,44570.0,15694,73446,40836.8,cuStreamCreateWithPriority
0.0,42356,7,6050.9,4204.0,1706,20864,6614.6,cuStreamSynchronize
0.0,34115,4,8528.8,6498.0,1664,19455,7667.3,cudaDeviceSynchronize
0.0,22528,2,11264.0,11264.0,5362,17166,8346.7,cuStreamDestroy_v2
0.0,21886,18,1215.9,416.0,373,6319,1678.7,cudaEventCreateWithFlags
0.0,18129,18,1007.2,529.5,349,6955,1526.1,cudaEventDestroy
0.0,11238,4,2809.5,2636.5,2192,3773,686.2,cuInit
0.0,3061,3,1020.3,954.0,224,1883,831.5,cuMemGetAllocationGranularity
0.0,2050,1,2050.0,2050.0,2050,2050,0.0,cuCtxSetCurrent
0.0,1650,2,825.0,825.0,383,1267,625.1,cudaGetDriverEntryPoint_v11030
0.0,410,2,205.0,205.0,171,239,48.1,cuModuleGetLoadingMode
