Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
23.2,5590201,194,28815.5,26832.0,12225,48096,14390.1,sgemm_32x32x32_NN_vec
14.3,3460239,96,36044.2,36848.5,27232,37793,2174.5,maxwell_sgemm_128x64_nt
11.5,2770757,192,14431.0,15104.0,6496,22880,7286.1,"Typeinfo name for sycl::_V1::event syclnn::Network<float>::launch<syclnn::Network<float>::update(unsigned long, unsigned int, unsigned int, unsigned int, const std::vector<sycl::_V1::event, std::allocator<sycl::_V1::event>> &)::[lambda(unsigned long) (instance 1)]>(unsigned long, const std::vector<sycl::_V1::event, std::allocator<sycl::_V1::event>> &, syclnn::Phase, T1)::[lambda(sycl::_V1::handler &) (instance 1)]::operator ()(sycl::_V1::handler &) const::[lambda(sycl::_V1::item<(int)1, (bool)1>) (instance 1)]"
8.2,1986533,96,20693.1,20992.5,16064,22241,1223.4,sgemm_32x32x32_TN_vec
7.6,1833405,96,19098.0,19504.5,15456,21152,1257.8,sgemm_32x32x32_NT_vec
7.4,1788537,96,18630.6,19120.5,14944,19584,1259.8,"Typeinfo name for auto void sycl::_V1::detail::NDRangeReduction<(sycl::_V1::detail::reduction::strategy)1>::run<sycl::_V1::detail::auto_name, (int)1, sycl::_V1::ext::oneapi::experimental::properties<sycl::_V1::ext::oneapi::experimental::detail::properties_type_list<>>, void sycl::_V1::detail::reduction_parallel_for<sycl::_V1::detail::auto_name, (sycl::_V1::detail::reduction::strategy)0, (int)1, sycl::_V1::ext::oneapi::experimental::properties<sycl::_V1::ext::oneapi::experimental::detail::properties_type_list<>>, sycl::_V1::detail::reduction_impl<double, std::plus<double>, (int)0, (unsigned long)1, (bool)0, double *>, auto syclnn::Network<float>::output_delta_loss(const float *, unsigned long, const std::vector<sycl::_V1::event, std::allocator<sycl::_V1::event>> &)::[lambda(T1) (instance 1)]::operator ()<auto syclnn::Network<float>::output_delta_loss(const float *, unsigned long, const std::vector<sycl::_V1::event, std::allocator<sycl::_V1::event>> &)::[lambda(T1) (instance 2)]::operator ()<std::integral_constant<syclnn::ActivationType, (syclnn::ActivationType)1>>(T1) const::[lambda(float, float) (instance 1)]>(T1) const::[lambda(sycl::_V1::handler &) (instance 1)]::operator ()(sycl::_V1::handler &) const::[lambda(sycl::_V1::item<(int)1, (bool)1>, T1 &) (instance 1)]>(sycl::_V1::handler &, sycl::_V1::range<T3>, T4, T5...)::[lambda(T1, T2 &...) (instance 1)], sycl::_V1::detail::reduction_impl<double, std::plus<double>, (int)0, (unsigned long)1, (bool)0, double *>>(sycl::_V1::handler &, sycl::_V1::nd_range<T2>, T3 &, T5 &, T4 &)::[lambda(T1) (instance 1)]::operator ()<int *>(T1) const::[lambda(sycl::_V1::nd_item<(int)1>) (instance 1)]"
4.9,1183955,96,12332.9,12544.0,8480,14592,735.4,sgemm_32x32x32_TN
4.7,1135377,97,11704.9,11968.0,7808,12832,734.0,sgemm_32x32x32_NN
3.8,922899,194,4757.2,4480.0,3584,5633,575.9,"Typeinfo name for sycl::_V1::event syclnn::Network<float>::launch<auto syclnn::Network<float>::forward_layer(unsigned long, const float *, unsigned long, const std::vector<sycl::_V1::event, std::allocator<sycl::_V1::event>> &, sycl::_V1::event *)::[lambda(T1) (instance 1)]::operator ()<std::integral_constant<syclnn::ActivationType, (syclnn::ActivationType)3>>(T1) const::[lambda(unsigned long) (instance 1)]>(unsigned long, const std::vector<sycl::_V1::event, std::allocator<sycl::_V1::event>> &, syclnn::Phase, T1)::[lambda(sycl::_V1::handler &) (instance 1)]::operator ()(sycl::_V1::handler &) const::[lambda(sycl::_V1::item<(int)1, (bool)1>) (instance 1)]"
3.6,876368,192,4564.4,5424.5,2240,6784,1808.8,"void gemv2N_kernel<int, int, float, float, float, float, (int)128, (int)32, (int)4, (int)4, (int)1, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
3.5,851726,96,8872.1,9056.0,5152,9856,592.9,sgemm_32x32x32_NT
2.5,613516,96,6390.8,6465.0,5056,7008,376.7,"void gemv2N_kernel<int, int, float, float, float, float, (int)128, (int)8, (int)4, (int)4, (int)1, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
